REPORT_DATE,CIK,REGISTRANT_NAME,SECURITY_KEY,ISSUER_NAME,BALANCE,PREV_BALANCE,POSITION_CHANGE,POSITION_CHANGE_PCT
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0010948588,BHG Group AB,4082.0,241258.0,-237176.0,-98.30803538121016
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0010948588,BHG Group AB,51790.0,4082.0,47708.0,1168.7408133268007
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0010948711,Ovzon AB,34440.0,4260.0,30180.0,708.4507042253521
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011090018,Holmen AB,116601.0,1751.0,114850.0,6559.109080525414
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011090018,Holmen AB,97.0,116601.0,-116504.0,-99.91681031895095
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011090018,Holmen AB,3244.0,97.0,3147.0,3244.3298969072166
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011090018,Holmen AB,454.0,3244.0,-2790.0,-86.00493218249076
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011166974,Fabege AB,143425.0,327028.0,-183603.0,-56.14289907897795
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011166974,Fabege AB,10340.0,143425.0,-133085.0,-92.79065713787695
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011166974,Fabege AB,117930.0,10340.0,107590.0,1040.5222437137331
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011205202,Vitrolife AB,3172.0,118612.0,-115440.0,-97.32573432704955
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011205202,Vitrolife AB,17886.0,3172.0,14714.0,463.8713745271122
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011337708,AAK AB,7965.0,203075.0,-195110.0,-96.07780376708112
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011426428,Nyfosa AB,7158.0,334086.0,-326928.0,-97.85743790521003
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0011426428,Nyfosa AB,34124.0,7158.0,26966.0,376.7253422743783
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012116390,Viaplay Group AB,1179255.0,30178.0,1149077.0,3807.6645238253027
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012141687,SkiStar AB,25599.0,1829.0,23770.0,1299.6172772006562
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012454072,Avanza Bank Holding AB,5671.0,185858.0,-180187.0,-96.94874581669876
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012673267,Evolution AB,3229.0,265413.0,-262184.0,-98.78340548503652
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012673267,Evolution AB,8749.0,3229.0,5520.0,170.95075874883864
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012673267,Evolution AB,532.0,8749.0,-8217.0,-93.91930506343581
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012673267,Evolution AB,6182.0,532.0,5650.0,1062.03007518797
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012673267,Evolution AB,5282.0,6182.0,-900.0,-14.55839534131349
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012673267,Evolution AB,12016.0,5282.0,6734.0,127.48958727754638
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012729366,Troax Group AB,17534.0,1696.0,15838.0,933.8443396226415
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012853455,EQT AB,589315.0,12111.0,577204.0,4765.948311452398
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012853455,EQT AB,150.0,589315.0,-589165.0,-99.97454671949636
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012853455,EQT AB,38782.0,150.0,38632.0,25754.666666666668
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0012853455,EQT AB,17475.0,38782.0,-21307.0,-54.94043628487443
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0013647385,BICO Group AB,1734.0,130296.0,-128562.0,-98.66918401178854
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0013647385,BICO Group AB,45019.0,1734.0,43285.0,2496.251441753172
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0013747870,Electrolux Professional AB,9796.0,390598.0,-380802.0,-97.49205065054096
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0013747870,Electrolux Professional AB,97378.0,9796.0,87582.0,894.0587995100041
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0014428835,VNV Global AB,75169.0,4214.0,70955.0,1683.7921214997627
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0014504817,Loomis AB,3288.0,85563.0,-82275.0,-96.15721748886786
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0014781795,AddTech AB,298151.0,6665.0,291486.0,4373.38334583646
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0014781795,AddTech AB,607.0,298151.0,-297544.0,-99.79641188525278
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0014781795,AddTech AB,13306.0,607.0,12699.0,2092.092257001648
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0014781795,AddTech AB,11679.0,13306.0,-1627.0,-12.227566511348265
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0014990966,Lagercrantz Group AB,9036.0,303860.0,-294824.0,-97.02626209438557
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015192067,Nordnet AB publ,7712.0,110000.0,-102288.0,-92.9890909090909
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015346135,Stillfront Group AB,18265.0,592539.0,-574274.0,-96.91750247663023
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015346135,Stillfront Group AB,261815.0,18265.0,243550.0,1333.4245825349028
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015483276,Cint Group AB,8069.0,495738.0,-487669.0,-98.37232570430349
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015483276,Cint Group AB,132019.0,8069.0,123950.0,1536.1259139918207
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015657788,Yubico AB,3452.0,2793.0,659.0,23.594701038310063
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015658109,Epiroc AB,763905.0,16404.0,747501.0,4556.8215069495245
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015658109,Epiroc AB,1689.0,763905.0,-762216.0,-99.77889920867123
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015658109,Epiroc AB,33357.0,1689.0,31668.0,1874.955595026643
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015658109,Epiroc AB,27880.0,33357.0,-5477.0,-16.419342266990437
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015658117,Epiroc AB,468436.0,10038.0,458398.0,4566.626818091253
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015658117,Epiroc AB,18916.0,468436.0,-449520.0,-95.96188166579853
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015658117,Epiroc AB,1027.0,18916.0,-17889.0,-94.57073377035314
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015658117,Epiroc AB,17581.0,1027.0,16554.0,1611.8792599805256
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015658117,Epiroc AB,92054.0,17581.0,74473.0,423.5993401968034
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015658117,Epiroc AB,164.0,92054.0,-91890.0,-99.8218437004367
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015671995,Hemnet Group AB,3942.0,78917.0,-74975.0,-95.00487854327964
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015811963,Investor AB,45250.0,2207707.0,-2162457.0,-97.95036207250328
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015811963,Investor AB,30182.0,45250.0,-15068.0,-33.299447513812154
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015811963,Investor AB,2049.0,30182.0,-28133.0,-93.21118547478629
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015811963,Investor AB,81484.0,2049.0,79435.0,3876.7691556857003
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015811963,Investor AB,100616.0,81484.0,19132.0,23.47945608953905
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015949201,Lifco AB,243145.0,5856.0,237289.0,4052.0662568306007
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015949201,Lifco AB,520.0,243145.0,-242625.0,-99.78613584486624
