date,n_total,n_valid,coverage,range_pp,std_pp,mean_ret,dispersion_reading,heterogeneity_type
2026-09-07,11,11,1.0,10.753620013710696,2.685874392465853,-0.3141140427967456,Baja,Heterogeneidad amplia
2026-09-08,11,11,1.0,12.376620940244509,2.991576228848147,-0.7669386833189425,Baja,Heterogeneidad amplia
2026-09-09,11,11,1.0,12.376620940244509,2.991576228848148,-0.7669386833189435,Baja,Heterogeneidad amplia
2026-09-10,11,11,1.0,14.593107875849732,3.394441975348353,-1.5371150168209113,Baja,Heterogeneidad amplia
