date,shares_outstanding,nav,fund_aum,class_aum,shares_change,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2025-01-02,1857685.0,118.1195,295848924.79,219428823.35750002,,,,,,
2025-01-03,1857685.0,117.886,295264082.93,218995053.91,0.0,0.0,0.0,,,
2025-01-06,1857685.0,119.5076,299325417.45,222007475.906,0.0,0.0,0.0,,,
2025-01-07,1857685.0,119.5442,299417120.56,222075467.17700002,0.0,0.0,0.0,,,
2025-01-08,1857685.0,119.4195,299104996.69,221843813.8575,0.0,0.0,0.0,,,
2025-01-09,1857685.0,120.4446,301672279.2,223748126.751,0.0,0.0,0.0,,0.0,
2025-01-10,1857685.0,119.0314,298132847.68,221122846.30900002,0.0,0.0,0.0,,0.0,
2025-01-13,1857685.0,118.6938,299717485.27,220495691.853,0.0,0.0,0.0,,0.0,
2025-01-14,1857685.0,119.3539,301384135.39,221721949.72149998,0.0,0.0,0.0,,0.0,
2025-01-15,1857685.0,120.8931,305270886.19,224581298.4735,0.0,0.0,0.0,,0.0,
2025-01-16,1857685.0,120.2986,303769609.89,223476904.741,0.0,0.0,0.0,,0.0,
2025-01-17,1857685.0,121.0682,305713137.19,224906579.117,0.0,0.0,0.0,,0.0,
2025-01-20,1857685.0,121.3447,306411170.15,225420229.01950002,0.0,0.0,0.0,,0.0,
2025-01-21,1857685.0,121.2021,306051241.4,225155323.1385,0.0,0.0,0.0,,0.0,
2025-01-22,1849014.0,120.7593,304933209.45,223285636.3302,-8671.0,-1047103.8903,-0.004689526417863792,,-209420.77805999998,
2025-01-23,1849014.0,121.867,307730144.64,225333789.138,0.0,0.0,0.0,,-209420.77805999998,
2025-01-24,1849014.0,121.7735,307494072.56,225160906.329,0.0,0.0,0.0,,-209420.77805999998,
2025-01-27,1849014.0,121.9214,307867507.23,225434375.49960002,0.0,0.0,0.0,,-209420.77805999998,
2025-01-28,1849014.0,123.5162,311894554.15,228383183.0268,0.0,0.0,0.0,,-209420.77805999998,
2025-01-29,1849014.0,124.8587,315284686.36,230865484.3218,0.0,0.0,0.0,,0.0,
2025-01-30,1849014.0,126.2119,318701503.52,233367570.0666,0.0,0.0,0.0,0.2236065845090337,0.0,-52355.194514999996
2025-01-31,1849014.0,125.6953,317397071.63,232412369.43420002,0.0,0.0,0.0,0.21821767699505212,0.0,-52355.194514999996
2025-02-03,1849014.0,124.035,316035380.42,229342451.48999998,0.0,0.0,0.0,0.2132005031146751,0.0,-52355.194514999996
2025-02-04,1849014.0,125.7315,320357963.23,232479303.741,0.0,0.0,0.0,0.20851420081614422,0.0,-52355.194514999996
2025-02-05,1849014.0,127.3928,324590976.26,235551070.69919997,0.0,0.0,0.0,0.20412393199100562,0.0,-52355.194514999996
2025-02-06,1849014.0,129.3668,330867061.4,239201024.3352,0.0,0.0,0.0,0.19999978675907867,0.0,-52355.194514999996
2025-02-07,1862514.0,128.936,332748251.79,240145105.104,13500.0,1740636.0,0.007248267664028297,3.0,348127.2,34676.605485
2025-02-10,1862514.0,129.1365,333265665.06,240518539.161,0.0,0.0,0.0,-0.05606526946830283,348127.2,34676.605485
2025-02-11,1862514.0,129.8049,334990535.19,241763443.51860002,0.0,0.0,0.0,-0.055089589537038956,348127.2,34676.605485
2025-02-12,1862514.0,131.1927,338571996.09,244348240.4478,0.0,0.0,0.0,-0.05416305270681711,348127.2,34676.605485
2025-02-13,1862514.0,131.444,339220469.19,244816290.216,0.0,0.0,0.0,-0.0532816743573854,348127.2,34676.605485
2025-02-14,1862514.0,131.6422,339732006.07,245185440.4908,0.0,0.0,0.0,-0.05244190721320633,0.0,34676.605485
2025-02-17,1862514.0,132.2583,341321992.0,246332935.36619997,0.0,0.0,0.0,-0.05164058160949218,0.0,34676.605485
2025-02-18,1862514.0,133.5476,345727115.15,248734274.6664,0.0,0.0,0.0,-0.050874855418450785,0.0,34676.605485
2025-02-19,1862514.0,131.3646,340075730.54,244668406.60439998,0.0,0.0,0.0,-0.050142171845573145,0.0,87031.8
2025-02-20,1913514.0,131.749,347790052.67,252103555.986,51000.0,6719199.0,0.026652535596812982,3.0,1343839.8,422991.75
2025-02-21,1913514.0,131.5958,347385632.0,251810405.6412,0.0,0.0,0.0,-0.17399515550577355,1343839.8,422991.75
2025-02-24,1905544.0,132.2116,349011200.82,251935021.11040002,-7970.0,-1053726.452,-0.004182532652093051,-1.0402496894551068,1133094.5096,370305.42740000004
2025-02-25,1905544.0,133.2975,351877922.04,254004251.34000003,0.0,0.0,0.0,-0.14291372866694566,1133094.5096,370305.42740000004
2025-02-26,1905544.0,135.4835,357648503.64,258169770.524,0.0,0.0,0.0,-0.14108053974370602,1133094.5096,370305.42740000004
2025-02-27,1935595.0,134.8541,364359670.23,261022921.68949997,30051.0,4052500.5590999997,0.01552545857991987,2.8625157049157797,599754.8214199999,572930.455355
2025-02-28,1935595.0,135.6324,366462338.66,262529395.27799997,0.0,0.0,0.0,-0.19749905589725714,599754.8214199999,572930.455355
2025-03-03,1935595.0,135.8955,367173169.95,263038650.3225,0.0,0.0,0.0,-0.1950989406884305,810500.11182,572930.455355
2025-03-04,1943337.0,132.4214,360980743.57,257339406.2118,7742.0,1025206.4788,0.003983868984123701,0.6002438098577341,1015541.40758,624190.779295
2025-03-05,1943337.0,134.2729,366028011.39,260937494.6673,0.0,0.0,0.0,-0.2084247177785737,1015541.40758,624190.779295
2025-03-06,1951337.0,134.4801,367668679.13,262415994.89369997,8000.0,1075840.8,0.004099753143613841,0.6259311783059298,420209.45576,677982.819295
2025-03-07,1951337.0,134.709,368294491.39,262862655.933,0.0,0.0,0.0,-0.2215796932886708,420209.45576,590951.019295
2025-03-10,1951337.0,132.9348,363443832.83,259400593.8276,0.0,0.0,0.0,-0.2191446300460907,420209.45576,590951.019295
2025-03-11,1951337.0,130.8457,357732252.37,255324055.7009,0.0,0.0,0.0,-0.2167881796513017,215168.15999999997,590951.019295
2025-03-12,1951337.0,130.0994,361019205.47,253867772.8978,0.0,0.0,0.0,-0.21450619843140384,215168.15999999997,590951.019295
2025-03-13,1951337.0,130.2754,361507498.82,254211208.20979998,0.0,0.0,0.0,-0.2122948423787899,0.0,590951.019295
2025-03-14,1951337.0,132.1413,366685284.68,257852207.9181,0.0,0.0,0.0,-0.21015053983449222,0.0,590951.019295
2025-03-17,1951337.0,133.5801,370677811.29,260659791.59369996,0.0,0.0,0.0,-0.2080699671563819,0.0,590951.019295
2025-03-18,1951337.0,135.6892,376530577.43,264775356.4604,0.0,0.0,0.0,-0.20605002699405886,0.0,590951.019295
2025-03-19,1951337.0,136.2324,378037869.5,265835322.71880004,0.0,0.0,0.0,-0.204087828846528,0.0,590951.019295
2025-03-20,1951337.0,135.1951,375159379.98,263811200.8487,0.0,0.0,0.0,-0.2021806716243482,0.0,254991.069295
2025-03-21,1951337.0,135.6398,376393449.8,264678960.4126,0.0,0.0,0.0,-0.2003260279763921,0.0,254991.069295
2025-03-24,1951337.0,135.3633,375626116.62,264139415.7321,0.0,0.0,0.0,-0.19852153017388988,0.0,307677.391895
2025-03-25,1959286.0,137.0001,380168326.07,268422377.9286,7949.0,1089013.7949,0.004057090184893885,0.7354554798565905,217802.75898,362128.08164
2025-03-26,1959286.0,136.5978,379051956.12,267634157.1708,0.0,0.0,0.0,-0.21036305565366062,217802.75898,362128.08164
2025-03-27,1959286.0,136.5,378780667.37,267442539.0,0.0,0.0,0.0,-0.2085544131276754,217802.75898,159503.053685
2025-03-28,1967286.0,135.3457,377703508.18,266263700.77019998,8000.0,1082765.5999999999,0.004066516002248783,0.7474161221330418,434355.8789799999,213641.33368500002
2025-03-31,1976786.0,133.5846,374057891.14,264068167.09559998,9500.0,1269053.7,0.004805780696544796,0.9099106358211771,688166.61898,277094.018685
2025-04-01,1968958.0,135.2417,379773097.02,266285227.1486,-7828.0,-1058672.0276000001,-0.003975706947532655,-1.163363556624484,258629.45447999993,172900.093365
2025-04-02,1968958.0,135.7604,381229556.95,267306525.66320002,0.0,0.0,0.0,-0.21572927691256297,258629.45447999993,172900.09336499998
2025-04-03,1968958.0,134.1469,377740370.78,264129611.93019998,0.0,0.0,0.0,-0.21401170728234906,258629.45447999993,119108.05336499999
2025-04-04,1968958.0,126.3216,355705302.81,248721924.8928,0.0,0.0,0.0,-0.21233454320614642,42076.33447999996,119108.05336499999
2025-04-07,1968958.0,119.8705,337540018.85,236019979.939,0.0,0.0,0.0,-0.2106962240294724,-211734.40552000003,119108.05336499999
2025-04-08,1968958.0,123.18,346858978.41,242536246.44000003,0.0,0.0,0.0,-0.20909527225091398,0.0,119108.05336499999
2025-04-09,1968958.0,120.447,339163348.24,237155084.226,0.0,0.0,0.0,-0.207530287908322,0.0,119108.05336499999
