date,sector,ticker,rs_distance_to_median,mom_distance_to_median,flow_distance_to_median,wls_distance_to_median,sector_rank_pct,n_valid_rs,n_valid_momentum,n_valid_flow,n_valid_wls
2026-09-17,XLF,V,-4.68919209403628,0.04438621533714171,0.27704964318726194,0.8290681686570059,1.0,14,14,14,14
2026-09-17,XLF,MA,-4.714861584024415,0.018716725349007254,0.34903602170015513,0.7869678132447335,0.9285714285714286,14,14,14,14
2026-09-17,XLF,JPM,-4.707002627325284,0.026575682048137313,0.13663369450989443,0.5626322766975992,0.8571428571428571,14,14,14,14
2026-09-17,XLF,BLK,-4.7738076607195765,-0.04022935134615513,0.6176698557553312,0.522259084924436,0.7857142857142857,14,14,14,14
2026-09-17,XLF,WFC,-4.663206483711347,0.07037182566207467,-0.07024259966070268,0.49747705911952683,0.7142857142857143,14,14,14,14
2026-09-17,XLV,TMO,-1.4943872601819588,0.06455371105632862,1.8057556303338007,1.9606827225213812,1.0,15,15,15,15
2026-09-17,XLV,GILD,-1.486770632664689,0.07217033857359839,0.8641589901258465,1.6302604881572185,0.9333333333333333,15,15,15,15
2026-09-17,XLV,DHR,-1.5589409712382873,5.377642775528102e-17,0.6295950051661966,0.8093335381183587,0.8666666666666667,15,15,15,15
2026-09-17,XLV,MRK,-1.5495626303043875,0.009378340933899885,0.371869824335303,0.4065307492631287,0.8,15,15,15,15
2026-09-17,XLV,ABBV,-1.5346918591303824,0.024249112107904924,0.1265417486529538,0.3549601449064924,0.7333333333333333,15,15,15,15
2026-09-17,XLE,VLO,-1.8880556958291024,0.20161486610307167,1.2729207598125225,2.915698350978659,1.0,15,15,15,15
2026-09-17,XLE,PSX,-1.9437323518292076,0.14593821010296648,1.4384895425899509,2.9036208845619096,0.9333333333333333,15,15,15,15
2026-09-17,XLE,MPC,-1.9132523998372948,0.17641816209487926,1.360568718748111,2.8008278285128103,0.8666666666666667,15,15,15,15
2026-09-17,XLE,CVX,-2.049190746847566,0.04047981508460817,-0.018276269312873072,0.9702773664566359,0.8,15,15,15,15
2026-09-17,XLE,DVN,-2.082366490642269,0.007304071289905224,-0.21896930728578962,0.36998875153219624,0.7333333333333333,15,15,15,15
2026-09-17,XLC,META,-0.7294940373943832,0.2636079151429385,0.8892856807672298,2.3162729801258375,1.0,15,15,15,15
2026-09-17,XLC,DIS,-0.9711974275250224,0.02190452501229944,0.05944838231968819,0.5605648459012602,0.9333333333333333,15,15,15,15
2026-09-17,XLC,OMC,-1.0550112398911362,-0.061909287353814346,0.07884972105762042,0.4158987257075868,0.8666666666666667,15,15,15,15
2026-09-17,XLC,GOOG,-0.9359480302338927,0.05715392230342903,0.9793693039957427,0.4068716588923639,0.8,15,15,15,15
2026-09-17,XLC,WBD,-0.9523163521072362,0.040785600430085556,0.6135205208468861,0.34346020328705407,0.7333333333333333,15,15,15,15
