ticker,cusip,effectiveDate,sharesOutstanding,nav,marketValue,creationUnits,creationUnitsExact,source
QQQ,46090E103,2026-08-14,678650000.0,731.010978,496100600185.25,13573.0,True,Invesco DNG API
QQQ,46090E103,2026-08-17,683100000.0,729.775883,498509905576.7,13662.0,True,Invesco DNG API
QQQ,46090E103,2026-08-18,681400000.0,717.509864,488911221231.25,13628.0,True,Invesco DNG API
