week,ratio,ratio_ewm
2024-07-22,0.2092002811963362,0.2092002811963362
2024-07-29,0.2326962422479418,0.2238852568535897
2024-08-05,0.1916618983473988,0.20744476781981883
2024-08-12,0.2046383141776948,0.20615503728575446
2024-08-19,0.2047827426452474,0.20555983662627011
2024-08-26,0.2169021873329088,0.2103188116475169
2024-09-02,0.2380681767170394,0.22173822825609993
2024-09-09,0.2208541338331826,0.22137854926098238
2024-09-16,0.227819326301548,0.22398108766810393
2024-09-23,0.1967582880431218,0.21302572492895822
2024-09-30,0.1956830223014963,0.20606338471263994
2024-10-07,0.2181128020301405,0.2108936661108657
2024-10-14,0.2096198048513164,0.2103834552362343
2024-10-21,0.2140034257204159,0.21183257902364963
2024-10-28,0.216730658791679,0.21379273256562428
2024-11-04,0.2351878566510307,0.22235319720094637
2024-11-11,0.2293366902272776,0.2251470673203593
2024-11-18,0.2258228616493906,0.22541741250821737
2024-11-25,0.1811862159260471,0.20772385570123167
2024-12-02,0.2128011317348243,0.20975484037068612
2024-12-09,0.2133136395641844,0.21117839127645138
2024-12-16,0.2126646142870592,0.21177288830556573
2024-12-23,0.2146003804901005,0.21290389411127433
2024-12-30,0.2213874438523598,0.21629733008710228
2025-01-06,0.2631575684014475,0.23504147870299477
2025-01-13,0.2319693815602014,0.23381263774969926
2025-01-20,0.2371424322635409,0.23514455691844233
2025-01-27,0.2468356902869875,0.23982101313764517
2025-02-03,0.2373280274437021,0.23882381849264506
2025-02-10,0.2479719623143245,0.2424830768302834
2025-02-17,0.2724890518276163,0.254485468421266
2025-02-24,0.2516747100911233,0.2533611649997294
2025-03-03,0.2561347400280215,0.2544705950640237
2025-03-10,0.2403400619258841,0.24881838164682527
2025-03-17,0.2403021893248416,0.245411904659472
2025-03-24,0.244580105183339,0.245079184865587
2025-03-31,0.3020909048025182,0.2678838729814898
2025-04-07,0.2369584257540608,0.25551369404458535
2025-04-14,0.2000373808859892,0.2333231687317083
2025-04-21,0.2498498269889511,0.23993383204344218
2025-04-28,0.2590393693018631,0.24757604695293997
2025-05-05,0.2474394887275871,0.24752142366277255
2025-05-12,0.2474800463491059,0.2475048727373011
2025-05-19,0.2429023058395424,0.24566384597787866
2025-05-26,0.2754812657145088,0.2575908138737705
2025-06-02,0.2428172117002177,0.2516813730039808
2025-06-09,0.260009533292562,0.2550126371195379
2025-06-16,0.2678960409183057,0.26016599863916073
2025-06-23,0.2505665264184239,0.2563262097508143
2025-06-30,0.1956415421131818,0.2320523426955651
2025-07-07,0.2437728123919118,0.2367405305741265
2025-07-14,0.2494287167765369,0.24181580505510544
2025-07-21,0.2499875261661156,0.24508449349951522
2025-07-28,0.2630051595210511,0.2522527599081371
2025-08-04,0.2447221091137553,0.2492404995903825
2025-08-11,0.2453872824771403,0.24769921274508505
2025-08-18,0.2530363300890036,0.24983405968265293
2025-08-25,0.2171871014549486,0.2367752763915694
2025-09-01,0.264443695106509,0.24784264387754612
2025-09-08,0.2410284572219383,0.24511696921530288
2025-09-15,0.2391450823756816,0.2427282144794543
2025-09-22,0.2236549095545306,0.23509889250948465
2025-09-29,0.2269346086597258,0.23183317896958108
2025-10-06,0.2485861178495482,0.23853435452156796
2025-10-13,0.2460742511011564,0.24155031315340336
2025-10-20,0.2410682986997384,0.24135750737193742
2025-10-27,0.2502304382647611,0.24490667972906688
2025-11-03,0.2498060071987708,0.24686641071694843
2025-11-10,0.2498743175920793,0.2480695734670008
2025-11-17,0.251091040722407,0.24927816036916325
2025-11-24,0.1984228862901942,0.22893605073757564
2025-12-01,0.2407602702261103,0.23366573853298953
2025-12-08,0.2582832249235161,0.24351273308920013
2025-12-15,0.241976225130653,0.2428981299057813
2025-12-22,0.2298930058242273,0.23769608027315972
2025-12-29,0.265556245957561,0.24884014654692024
2026-01-05,0.2509488677236477,0.24968363501761126
2026-01-12,0.2517035406663624,0.25049159727711173
2026-01-19,0.2713829655978405,0.2588481446054033
2026-01-26,0.2639773011125338,0.2608998072082555
2026-02-02,0.2551515428271059,0.25860050145579566
2026-02-09,0.263611307686438,0.2606048239480526
2026-02-16,0.2619178963731036,0.261130052918073
2026-02-23,0.2554208811977458,0.2588463842299421
2026-03-02,0.2411229670966276,0.2517570173766163
2026-03-09,0.2470081140499758,0.2498574560459601
2026-03-16,0.263022379568163,0.25512342545484124
2026-03-23,0.2398164357055518,0.24900062955512547
2026-03-30,0.188755626988073,0.22490262852830448
2026-04-06,0.2513332204238571,0.23547486528652553
2026-04-13,0.2644147655689757,0.24705082539950562
2026-04-20,0.265411136102523,0.2543949496807126
2026-04-27,0.2530200503185092,0.2538449899358312
2026-05-04,0.2486641221321421,0.2517726428143556
2026-05-11,0.2606976819803198,0.2553426584807413
2026-05-18,0.2440123708196578,0.2508105434163079
2026-05-25,0.280909403476568,0.26285008744041194
2026-06-01,0.2616877598405769,0.26238515640047794
2026-06-08,0.2538157437745816,0.2589573913501194
2026-06-15,0.1683598019766761,0.2227183556007421
2026-06-22,0.2505978333467866,0.23387014669915995
2026-06-29,0.1963418085948004,0.21885881145741615
2026-07-06,0.2027663510090224,0.21242182727805864
2026-07-13,0.2060397573384381,0.20986899930221045
2026-07-20,0.2145744254723638,0.2117511697702718
