date,nav,shares_outstanding,shares_change,total_net_assets,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2000-06-29,10.1147,14878191.0,2425764.0,93054934.73,24535875.130799998,0.26367086497874753,4.426945582063646,4907023.994239999,1226766.1637449998
2000-06-30,10.2339,14878197.0,6.0,94151606.14,61.403400000000005,6.521758100302123e-07,-0.2628103636967468,4907096.374519999,1226785.3358149999
2000-07-03,10.4903,14878224.0,27.0,96510656.94,283.2381,2.934785742636558e-06,-0.2596965675328977,4907277.627739999,1226797.3758399999
2000-07-04,10.4038,14878172.0,-52.0,95714520.08,-540.9976,-5.652199891383502e-06,-0.25688347359787855,4907074.34254,1226761.8372399998
2000-07-05,10.3477,14878186.0,14.0,95198497.47,144.8678,1.5217446057449838e-06,-0.2538836356236708,4907164.728499999,1226813.882005
2000-07-06,10.4077,14878216.0,30.0,95750683.74,312.231,3.260874886782297e-06,-0.2510778719525411,52.14853999999998,1226810.5404549998
2000-07-07,10.5337,14878244.0,28.0,96910066.96,294.9436,3.043477414185867e-06,-0.24839749198081915,98.85657999999998,1226813.2770349998
2000-07-10,10.4827,14878279.0,35.0,96441092.84,366.8945,3.8043378522129985e-06,-0.24578317967284688,115.58785999999998,1226802.4281199998
2000-07-11,10.4982,14878256.0,-23.0,96583546.82,-241.45860000000002,-2.4999972350363106e-06,-0.24338253806510832,175.49566,1226829.02907
2000-07-12,10.5668,14878278.0,22.0,97214807.01,232.4696,2.391298271837201e-06,-0.24084397883144323,193.01601999999997,1226805.1539399999
2000-07-13,10.4978,14878185.0,-93.0,96579405.25,-976.2954,-1.010873278286211e-05,-0.2387131234678287,-64.68926000000002,1226808.9531699999
2000-07-14,10.4968,14878307.0,122.0,96570994.64,1280.6096,1.3260809881620165e-05,-0.2359527341948631,132.44393999999997,1226822.20253
