etf,ticker,weight
XLF,FISV,0.344256
XLF,RF,0.330199
XLF,CINF,0.328097
XLF,CPAY,0.32506
XLF,SYF,0.323202
XLF,TROW,0.298448
XLF,PFG,0.272088
XLF,FIS,0.270642
XLF,KEY,0.256066
XLF,BRO,0.254397
XLF,WRB,0.252412
XLF,GPN,0.244439
XLF,L,0.233791
XLF,EG,0.177197
XLF,GL,0.172171
XLF,AIZ,0.17082
XLF,IVZ,0.17023
XLF,JKHY,0.133659
XLF,FDS,0.126261
XLF,BEN,0.125244
XLF,ERIE,0.079826
XLF,IXAU6,0.00916
XLF,-,-0.002268
XLV,LLY,15.839609
XLV,JNJ,10.306325
XLV,ABBV,7.281722
XLV,UNH,6.019158
XLV,MRK,5.308354
XLV,TMO,3.705163
XLV,AMGN,3.684881
XLV,ABT,3.149453
XLV,GILD,2.777967
XLV,PFE,2.500285
XLV,ISRG,2.341738
XLV,VRTX,2.215335
XLV,DHR,2.153408
XLV,BMY,2.140651
XLV,SYK,1.979566
XLV,CVS,1.966002
XLV,MDT,1.918595
XLV,MCK,1.786353
XLV,ELV,1.397009
XLV,REGN,1.312432
XLV,BSX,1.253881
XLV,CI,1.193917
XLV,COR,1.070497
XLV,HCA,1.052885
XLV,CAH,0.927336
XLV,EW,0.888734
XLV,BDX,0.823746
XLV,IDXX,0.762554
XLV,HUM,0.737637
XLV,A,0.696198
XLV,WAT,0.671498
XLV,IQV,0.670676
XLV,VEEV,0.585379
XLV,DXCM,0.569328
XLV,GEHC,0.545369
XLV,RMD,0.537475
XLV,ZTS,0.520586
XLV,CNC,0.501567
XLV,BIIB,0.49606
XLV,MTD,0.478615
XLV,LH,0.435717
XLV,DGX,0.433247
XLV,WST,0.409087
XLV,STE,0.385025
XLV,MRNA,0.352488
XLV,INCY,0.334825
XLV,VTRS,0.312439
XLV,ZBH,0.309972
XLV,COO,0.247003
XLV,BAX,0.235
XLV,CRL,0.223837
XLV,RVTY,0.212781
XLV,SOLV,0.20401
XLV,ALGN,0.189821
XLV,TECH,0.186167
XLV,PODD,0.165157
XLV,UHS,0.148185
XLV,HSIC,0.142296
XLV,DVA,0.09436
XLV,IXCU6,0.018782
XLV,2602335D,3.7e-05
XLV,-,-0.00726
XLE,XOM,20.735902
XLE,CVX,14.93818
XLE,COP,6.224423
XLE,MPC,5.136107
XLE,PSX,5.101472
XLE,VLO,4.813448
XLE,SLB,4.580401
XLE,EOG,4.301556
XLE,BKR,3.908206
XLE,WMB,3.826609
XLE,KMI,3.746341
XLE,OKE,3.504878
XLE,TRGP,3.463363
XLE,DVN,3.181707
XLE,OXY,2.606596
XLE,FANG,2.379927
XLE,EQT,2.067115
XLE,HAL,1.716343
XLE,EXE,1.428554
XLE,TPL,1.285308
XLE,APA,0.872739
XLE,IXPU6,0.010763
XLE,-,0.005516
XLY,AMZN,24.976281
XLY,TSLA,15.290601
XLY,HD,5.76194
XLY,MCD,4.145081
XLY,BKNG,4.038069
XLY,TJX,3.967938
XLY,LOW,3.033527
XLY,SBUX,2.975912
XLY,ROST,1.985911
XLY,GM,1.972294
XLY,DASH,1.964053
XLY,ABNB,1.892607
XLY,ORLY,1.878052
XLY,RCL,1.875496
XLY,MAR,1.872566
XLY,HLT,1.753632
XLY,F,1.339514
XLY,CVNA,1.262576
XLY,GRMN,1.242685
XLY,AZO,1.227355
XLY,NKE,1.213384
XLY,EBAY,1.152309
XLY,CMG,1.004913
XLY,YUM,0.976561
XLY,DHI,0.973586
XLY,EXPE,0.899857
XLY,CCL,0.873197
XLY,TPR,0.793974
XLY,WSM,0.72223
XLY,PHM,0.61738
XLY,DRI,0.613818
XLY,ULTA,0.57723
XLY,LEN,0.461238
XLY,GPC,0.455069
XLY,TSCO,0.453058
XLY,NVR,0.424797
XLY,BBY,0.39942
XLY,RL,0.376258
XLY,LVS,0.333721
XLY,DECK,0.326044
XLY,LULU,0.321999
XLY,HAS,0.319317
XLY,DPZ,0.267593
XLY,APTV,0.257069
XLY,WYNN,0.215038
XLY,NCLH,0.210225
XLY,MGM,0.207315
XLY,IXYU6,-0.000135
XLY,-,-0.007233
XLP,WMT,10.635699
XLP,COST,8.973455
XLP,PG,7.242838
XLP,KO,7.172867
XLP,PM,6.216807
XLP,CL,4.655882
XLP,TGT,4.386001
XLP,MDLZ,4.367252
XLP,PEP,4.351111
XLP,MNST,4.154175
XLP,MO,4.034443
XLP,SYY,2.574599
XLP,KDP,2.536815
XLP,ADM,2.477874
XLP,KVUE,2.311386
XLP,KMB,2.302818
XLP,KR,2.038795
XLP,CASY,1.959734
XLP,HSY,1.723636
XLP,DG,1.689592
XLP,CHD,1.556059
XLP,DLTR,1.481834
XLP,EL,1.387079
XLP,KHC,1.344753
XLP,GIS,1.293456
XLP,STZ,1.193895
XLP,TSN,1.017273
XLP,BG,0.968445
XLP,MKC,0.858394
XLP,CLX,0.826751
XLP,SJM,0.799597
XLP,HRL,0.452862
XLP,TAP,0.430344
XLP,BF.B,0.301547
XLP,-,0.0
XLP,IXRU6,-0.001383
XLI,CAT,6.652554
XLI,GE,6.576551
XLI,RTX,5.162958
XLI,GEV,4.656783
XLI,BA,3.148838
XLI,ETN,3.054298
XLI,UNP,2.9779
XLI,UBER,2.738028
XLI,DE,2.658474
XLI,PH,2.291814
XLI,LMT,2.077152
XLI,HWM,1.927773
XLI,ADP,1.855828
XLI,VRT,1.853803
XLI,TT,1.832182
XLI,PWR,1.723324
XLI,GD,1.703508
XLI,MMM,1.635767
XLI,JCI,1.617078
XLI,CSX,1.589207
XLI,EMR,1.576784
XLI,CMI,1.495777
XLI,WM,1.435307
XLI,UPS,1.335237
XLI,NOC,1.316285
XLI,ITW,1.314408
XLI,NSC,1.286993
XLI,HON,1.248622
XLI,URI,1.224905
XLI,FDX,1.21218
XLI,CTAS,1.195596
XLI,PCAR,1.191372
XLI,TDG,1.189793
XLI,FAST,1.029855
XLI,FIX,1.016059
XLI,DAL,1.011774
XLI,AME,1.006065
XLI,GWW,0.9685
XLI,LHX,0.912533
XLI,HONA,0.90033
XLI,AXON,0.878369
XLI,WAB,0.866102
XLI,ROK,0.851825
XLI,CARR,0.850664
XLI,FERG,0.835355
XLI,RSG,0.736646
XLI,UAL,0.7021
XLI,PAYX,0.669877
XLI,ODFL,0.65644
XLI,EME,0.621696
XLI,IR,0.518529
XLI,XYL,0.501414
XLI,DOV,0.480787
XLI,OTIS,0.479994
XLI,HUBB,0.470233
XLI,CPRT,0.446227
XLI,VLTO,0.412072
XLI,VRSK,0.406058
XLI,EXPD,0.396916
XLI,LUV,0.381036
XLI,EFX,0.371081
XLI,SNA,0.365354
XLI,JBHT,0.338583
XLI,BR,0.338244
XLI,DD,0.338162
XLI,FTV,0.322091
XLI,LDOS,0.303563
XLI,IEX,0.300863
XLI,J,0.298548
XLI,CHRW,0.292902
XLI,NDSN,0.282633
XLI,SWK,0.276921
XLI,MAS,0.26311
XLI,TXT,0.262738
XLI,FDXF,0.259742
XLI,ALLE,0.247949
XLI,LII,0.233717
XLI,HII,0.221258
XLI,GNRC,0.217621
XLI,ROL,0.186181
XLI,PNR,0.18599
XLI,BLDR,0.138366
XLI,AOS,0.122108
XLI,IXIU6,0.001858
XLI,-,0.000247
XLB,LIN,13.040351
XLB,NEM,7.194667
XLB,FCX,5.692618
XLB,SHW,5.129083
XLB,APD,4.784774
XLB,ECL,4.737517
XLB,NUE,4.643861
XLB,VMC,4.514584
XLB,CTVA,4.37848
XLB,CRH,4.333472
XLB,MLM,4.2835
XLB,STLD,4.203235
XLB,SW,3.41723
XLB,PPG,3.399908
XLB,PKG,2.993031
XLB,DOW,2.958484
XLB,IP,2.906413
XLB,AMCR,2.877735
XLB,IFF,2.84958
XLB,CF,2.376465
XLB,BALL,2.199061
XLB,LYB,2.169432
XLB,ALB,2.003351
XLB,AVY,1.805205
XLB,MOS,0.964115
XLB,-,0.009902
XLB,IXDU6,0.0009
XLU,NEE,13.09819
XLU,SO,7.591056
XLU,DUK,7.035502
XLU,CEG,6.518878
XLU,AEP,4.925879
XLU,D,4.387439
XLU,SRE,4.093417
XLU,ETR,3.574709
XLU,XEL,3.551569
XLU,VST,3.364894
XLU,EXC,3.363352
XLU,ED,2.902206
XLU,PCG,2.790997
XLU,PEG,2.745567
XLU,WEC,2.545569
XLU,AEE,2.185947
XLU,DTE,2.097585
XLU,ATO,2.069074
XLU,EIX,1.970122
XLU,ES,1.95967
XLU,AWK,1.946425
XLU,PPL,1.944459
XLU,CNP,1.925533
XLU,NRG,1.851498
XLU,FE,1.786329
XLU,CMS,1.575556
XLU,NI,1.475492
XLU,EVRG,1.385223
XLU,LNT,1.297586
XLU,PNW,0.888161
XLU,AES,0.76799
XLU,-,0.031007
XLU,IXSU6,-0.008272
XLRE,WELL,10.900046
XLRE,PLD,9.06995
XLRE,EQIX,6.982588
XLRE,AMT,5.417132
XLRE,DLR,5.059023
XLRE,SPG,4.882048
XLRE,PSA,4.85112
XLRE,O,4.53639
XLRE,CBRE,4.464583
XLRE,VTR,4.371372
XLRE,IRM,3.765127
XLRE,CCI,3.323233
XLRE,EXR,3.201221
XLRE,VICI,2.935667
XLRE,AVB,2.610832
XLRE,EQR,2.294653
XLRE,SBAC,1.995598
XLRE,ESS,1.876848
XLRE,WY,1.865343
XLRE,INVH,1.683394
XLRE,KIM,1.671434
XLRE,MAA,1.58535
XLRE,HST,1.46797
XLRE,DOC,1.462042
XLRE,CSGP,1.313981
XLRE,REG,1.291869
XLRE,UDR,1.140332
XLRE,CPT,1.125515
XLRE,BXP,1.034977
XLRE,FRT,0.948922
XLRE,ARE,0.780367
XLRE,-,0.00359
XLRE,XARU6,0.000204
XLC,META,17.828818
XLC,GOOGL,10.597704
XLC,GOOG,8.522428
XLC,T,5.047309
XLC,VZ,4.818308
XLC,CMCSA,4.760596
XLC,DIS,4.718522
XLC,TMUS,4.614351
XLC,NFLX,4.556714
XLC,TTWO,4.556154
XLC,OMC,4.526719
XLC,LYV,4.514174
XLC,WBD,4.485254
XLC,CHTR,2.436972
XLC,FOXA,2.290645
XLC,TKO,2.266034
XLC,ECHO,2.215647
XLC,NWSA,1.930509
XLC,FOX,1.421927
XLC,APP,1.372471
XLC,TTD,1.06997
XLC,NWS,0.727382
XLC,PSKY,0.546742
XLC,-,0.014745
XLC,XASU6,-0.002357
