etf,ticker,name,weight
ISF.L,HSBA.L,HSBC HOLDINGS PLC,10.060000
ISF.L,SHEL.L,SHELL PLC,7.250000
ISF.L,AZN.L,ASTRAZENECA PLC,6.830000
ISF.L,RR.L,ROLLS-ROYCE HOLDINGS PLC,4.940000
ISF.L,ULVR.L,UNILEVER PLC,3.740000
ISF.L,BATS.L,BRITISH AMERICAN TOBACCO,3.290000
ISF.L,BP.L,BP PLC,3.230000
ISF.L,RIO.L,RIO TINTO PLC,2.980000
ISF.L,GSK.L,GLAXOSMITHKLINE,2.900000
ISF.L,BARC.L,BARCLAYS PLC,2.710000
