etf,ticker,name,weight
DAXEX,SIE.DE,SIEMENS N AG,11.420000
DAXEX,SAP.DE,SAP,10.140000
DAXEX,ALV.DE,ALLIANZ,9.200000
DAXEX,ENR.DE,SIEMENS ENERGY N AG,7.160000
DAXEX,AIR.PA,AIRBUS,6.940000
DAXEX,DTE.DE,DEUTSCHE TELEKOM N AG,5.490000
DAXEX,MUV2.DE,MUENCHENER RUECKVERSICHERUNGS-GESE,3.630000
DAXEX,DBK.DE,DEUTSCHE BANK AG,3.520000
DAXEX,RHM.DE,RHEINMETALL AG,2.960000
DAXEX,DHL.DE,DEUTSCHE POST AG,2.900000
