ticker,sector,rs,rs_mom,flow_z,wyckoff_score,wyckoff_phase,persistence_10d,stability,spring,sos,wls,sector_rank_pct
JPM,XLF,6.263668050583415,0.025917052447784972,-0.01574944053138233,0.504706239538154,MARKUP,5.0,0.998852950971692,0,0,0.6556041514802259,1.0
BAC,XLF,1.1072664506016827,0.025830293979381358,-0.03518516370854429,0.45401699594176653,MARKUP,6.0,0.9999708350773776,0,0,0.5640123281318972,0.8888888888888888
MA,XLF,9.713494980142125,0.01418121031879549,-0.2087165012752151,0.5495958606044311,MARKUP,2.0,0.9999999992720464,0,0,0.09259837852387331,0.7777777777777778
WFC,XLF,1.5129757457188768,0.00230676569023458,-0.17296270944476558,0.48631972750056834,MARKUP,5.0,0.9574642746837546,0,0,-0.029723213785354263,0.6666666666666666
V,XLF,6.277162839330692,-0.007651961205382474,-0.1790783998601392,0.2584797317895793,ACCUMULATION,4.0,0.942535442541151,0,0,-0.34551464332538295,0.5555555555555556
C,XLF,2.3489620426397364,-0.004771449502665948,0.015600312308856001,-0.20070268154382664,RANGE,6.0,-0.9970422873520596,0,0,-0.4954180528374478,0.4444444444444444
AXP,XLF,5.896366817598003,-0.06938958768895986,-0.15966789343382773,0.30612335197495677,MARKUP,5.0,0.989977924127658,0,0,-0.665471071989723,0.3333333333333333
MS,XLF,3.7209344318869624,-0.07987185522859686,-0.011525080204022523,-0.14160111254810595,RANGE,6.0,-0.8998614120956349,0,0,-1.1124646939897387,0.2222222222222222
GS,XLF,17.896367609576686,-0.12562494886535536,-0.08115679436470404,0.10176470976012322,ACCUMULATION,5.0,-0.9950772370113273,0,0,-1.4409758447232388,0.1111111111111111
TMO,XLV,3.600976250108644,0.065106810342209,0.5135119047995842,0.5631159906006452,MARKUP,5.0,0.9995825916544301,0,0,1.2067071731328534,1.0
ABT,XLV,0.6530563943101544,0.15725713824509385,0.19647961204629952,0.10294126353471128,ACCUMULATION,6.0,0.6409788950518144,0,0,0.9729710827386048,0.9
AMGN,XLV,2.4659246553103835,0.09417383517872846,0.5232112648853734,-0.07404542464815841,RANGE,4.0,-0.669124077395734,0,0,0.5436785774084174,0.8
PFE,XLV,0.15844295999992009,0.05099414339056807,0.6512689051562294,-0.14290424692419157,RANGE,7.0,0.14642026252988902,0,0,0.41130773123072056,0.7
LLY,XLV,7.231831791303425,-0.0068024001632360775,0.6666210547196321,-0.06293028459219022,RANGE,3.0,0.9094965587424918,0,0,0.26139258806432986,0.6
MRK,XLV,0.7762633321414627,0.017194581689270128,-0.03343704927980723,0.12731418244640746,ACCUMULATION,4.0,-0.7801716825221431,0,0,-0.04460639421456262,0.5
ABBV,XLV,1.4759241076614273,-0.03955413748209563,-0.0009240395560420975,0.08299738397190914,ACCUMULATION,3.0,0.9008774343648567,0,0,-0.2127530525014145,0.4
GILD,XLV,0.8081067121690595,-0.01647445218908053,0.54425917795663,-0.2718900217005703,RANGE,5.0,-0.9977413266048433,0,0,-0.26826234562067364,0.3
