etf,ticker,name,weight
FEZ,ASML,ASML HOLDING NV,9.064902
FEZ,SIE,SIEMENS AG REG,4.494465
FEZ,SAN,BANCO SANTANDER SA,4.123654
FEZ,SAP,SAP SE,3.993839
FEZ,SU,SCHNEIDER ELECTRIC SE,3.855486
FEZ,TTE,TOTALENERGIES SE,3.808991
FEZ,ALV,ALLIANZ SE REG,3.621555
FEZ,BBVA,BANCO BILBAO VIZCAYA ARGENTA,3.052909
FEZ,SAF,SAFRAN SA,2.917089
FEZ,IBE,IBERDROLA SA,2.828042
