week,ratio,ratio_ewm
2025-01-20,0.23714243226354093,0.23714243226354093
2025-01-27,0.24683569028698757,0.24320071852819508
2025-02-03,0.23732802744370216,0.2402044475667191
2025-02-10,0.24797196231432456,0.24377407750587599
2025-02-17,0.27248905182761635,0.25622852507776195
2025-02-24,0.25167471009112335,0.25431785485310493
2025-03-03,0.25613474002802156,0.25506553930247344
2025-03-10,0.24034006192588414,0.24907472568783615
2025-03-17,0.2403021893248416,0.2455299883574226
2025-03-24,0.24458010518333906,0.24514772367945956
2025-03-31,0.3020909048025182,0.26800793229252673
2025-04-07,0.23695842575406081,0.25556103549204706
2025-04-14,0.20003738088598927,0.2333225286162562
2025-04-21,0.24984982698895117,0.23993863261993237
2025-04-28,0.25903936930186316,0.24758252133440198
2025-05-05,0.24743948872758711,0.2475252921466932
2025-05-12,0.24748004634910598,0.24750719076369887
2025-05-19,0.24290230583954242,0.24566504970627032
2025-05-26,0.2754812657145088,0.25759226290591913
2025-06-02,0.2428172117002177,0.25168202633602543
2025-06-09,0.26000953329256205,0.25501310219228673
2025-06-16,0.26789604091830577,0.26016634551056095
2025-06-23,0.2505665264184239,0.2563263875483976
2025-06-30,0.1956415421131818,0.23205233435459066
2025-07-07,0.24377281239191187,0.23674053889821972
2025-07-14,0.2494287167765369,0.2418158187070466
2025-07-21,0.24998752616611564,0.24508450503614318
2025-07-28,0.2630051595210511,0.25225277123209716
2025-08-04,0.24472210911375533,0.24924050527487135
2025-08-11,0.24538728247714034,0.24769921581504006
2025-08-18,0.2530363300890036,0.24983406180780074
2025-08-25,0.21718710145494868,0.23677527662735542
2025-09-01,0.26444369510650906,0.24784264454750546
2025-09-08,0.2410284572219383,0.24511696953918477
2025-09-15,0.23914508237568166,0.2427282146327191
2025-09-22,0.22365490955453063,0.23509889252275168
2025-09-29,0.22693460865972587,0.23183317895733097
2025-10-06,0.2485861178495482,0.23853435453910066
2025-10-13,0.2460742511011564,0.24155031317064227
2025-10-20,0.24106829869973848,0.24135750738202297
2025-10-27,0.2502304382647611,0.24490667973796487
2025-11-03,0.24980600719877086,0.24686641072323037
2025-11-10,0.2498743175920793,0.24806957347111736
2025-11-17,0.251091040722407,0.24927816037184258
2025-11-24,0.19842288629019425,0.2289360507370688
2025-12-01,0.24076027022611035,0.23366573853298045
2025-12-08,0.25828322492351613,0.2435127330895632
2025-12-15,0.241976225130653,0.24289812990598533
2025-12-22,0.22989300582422734,0.2376960802732121
2025-12-29,0.26555624595756105,0.24884014654704173
2026-01-05,0.2509488677236477,0.2496836350176882
2026-01-12,0.2517035406663624,0.25049159727716025
2026-01-19,0.2713829655978405,0.258848144605447
2026-01-26,0.2639773011125338,0.2608998072082839
2026-02-02,0.2551515428271059,0.25860050145581126
2026-02-09,0.263611307686438,0.2606048239480627
2026-02-16,0.2619178963731036,0.26113005291807917
2026-02-23,0.2554208811977458,0.25884638422994544
2026-03-02,0.2411229670966276,0.2517570173766177
2026-03-09,0.2470081140499758,0.24985745604596085
2026-03-16,0.263022379568163,0.25512342545484185
2026-03-23,0.2398164357055518,0.24900062955512572
2026-03-30,0.188755626988073,0.2249026285283044
2026-04-06,0.2513332204238571,0.23547486528652553
2026-04-13,0.2644147655689757,0.24705082539950565
2026-04-20,0.265411136102523,0.25439494968071263
2026-04-27,0.2530200503185092,0.2538449899358312
2026-05-04,0.2486641221321421,0.2517726428143555
2026-05-11,0.2606976819803198,0.2553426584807412
2026-05-18,0.2440123708196578,0.2508105434163078
2026-05-25,0.280909403476568,0.26285008744041194
2026-06-01,0.2616877598405769,0.26238515640047794
2026-06-08,0.2538157437745816,0.2589573913501194
2026-06-15,0.1683598019766761,0.2227183556007421
2026-06-22,0.2505978333467866,0.23387014669915995
2026-06-29,0.1963418085948004,0.21885881145741615
2026-07-06,0.2027663510090224,0.21242182727805864
2026-07-13,0.2060397573384381,0.20986899930221045
