catalog_key,assigned_entity_id,valid_from,valid_to,source,reason
radar_20260921_0074,radar_entity_0074,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0075,radar_entity_0075,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0076,radar_entity_0076,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0077,radar_entity_0077,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0078,radar_entity_0078,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0079,radar_entity_0079,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0080,radar_entity_0080,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0081,radar_entity_0081,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0082,radar_entity_0082,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0083,radar_entity_0083,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0084,radar_entity_0084,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0085,radar_entity_0085,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0086,radar_entity_0086,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0087,radar_entity_0087,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0088,radar_entity_0088,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0089,radar_entity_0089,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0090,radar_entity_0090,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0091,radar_entity_0091,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0092,radar_entity_0092,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0093,radar_entity_0093,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0094,radar_entity_0094,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0095,radar_entity_0095,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0096,radar_entity_0096,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0097,radar_entity_0097,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0098,radar_entity_0098,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0099,radar_entity_0099,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0100,radar_entity_0100,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0101,radar_entity_0101,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0102,radar_entity_0102,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0103,radar_entity_0103,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0104,radar_entity_0104,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0105,radar_entity_0105,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0106,radar_entity_0106,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0107,radar_entity_0107,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0108,radar_entity_0108,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0109,radar_entity_0109,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0110,radar_entity_0110,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0111,radar_entity_0111,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0112,radar_entity_0112,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0113,radar_entity_0113,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0114,radar_entity_0114,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0115,radar_entity_0115,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0116,radar_entity_0116,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0117,radar_entity_0117,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0118,radar_entity_0118,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0119,radar_entity_0119,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0120,radar_entity_0120,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0121,radar_entity_0121,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0122,radar_entity_0122,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0123,radar_entity_0123,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0124,radar_entity_0124,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0125,radar_entity_0125,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0126,radar_entity_0126,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0127,radar_entity_0127,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0128,radar_entity_0128,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0129,radar_entity_0129,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0130,radar_entity_0130,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0131,radar_entity_0131,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0132,radar_entity_0132,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0133,radar_entity_0133,20260921,,radar_target_catalog,initial migration from snapshot
